epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,5840.27,0.58068,0.65704,1.13538,0.82399,0.80359,0.80756,0.61409,1.02437,0.78407,1.14538,0.008218,0.008218,0.008218
65,5930.98,0.57632,0.65614,1.13855,0.84886,0.78962,0.82466,0.60766,1.10155,0.81599,1.18319,0.00818971,0.00818971,0.00818971
66,6021.52,0.57528,0.66288,1.13519,0.84991,0.78694,0.81352,0.61624,1.0486,0.81766,1.17439,0.00816143,0.00816143,0.00816143
67,6112.19,0.58751,0.65851,1.13682,0.80101,0.79249,0.80301,0.61108,1.03749,0.80815,1.15636,0.00813314,0.00813314,0.00813314
68,6202.87,0.57984,0.66198,1.1344,0.81867,0.78375,0.8142,0.60313,1.05519,0.79893,1.18029,0.00810486,0.00810486,0.00810486
69,6293.46,0.5724,0.65599,1.12915,0.83452,0.76066,0.80697,0.61145,1.01409,0.79386,1.1165,0.00807657,0.00807657,0.00807657
70,6384.19,0.57999,0.63916,1.13577,0.83598,0.78784,0.81953,0.61147,1.01417,0.78632,1.1312,0.00804829,0.00804829,0.00804829
71,6474.87,0.55996,0.62404,1.12994,0.86076,0.79703,0.82745,0.61757,1.02849,0.72458,1.14591,0.00802,0.00802,0.00802
72,6565.53,0.58204,0.66438,1.1366,0.82145,0.78784,0.82274,0.62446,0.99502,0.72482,1.11935,0.00799171,0.00799171,0.00799171
73,6656.25,0.5775,0.64293,1.12807,0.80486,0.81056,0.81959,0.61137,1.00533,0.80058,1.11886,0.00796343,0.00796343,0.00796343
74,6746.49,0.56683,0.63456,1.12242,0.82795,0.76405,0.79695,0.59183,1.10673,0.84326,1.21642,0.00793514,0.00793514,0.00793514
75,6836.89,0.56857,0.61448,1.12881,0.83429,0.78213,0.83512,0.62638,1.0543,0.75698,1.14099,0.00790686,0.00790686,0.00790686
76,6927.36,0.57723,0.63948,1.12648,0.7961,0.81701,0.82528,0.61557,1.06665,0.8046,1.18936,0.00787857,0.00787857,0.00787857
77,7017.76,0.5632,0.62495,1.12899,0.81375,0.80689,0.82275,0.60827,1.09047,0.79092,1.20652,0.00785029,0.00785029,0.00785029
78,7107.94,0.56614,0.62296,1.12541,0.85958,0.8,0.82928,0.62264,1.04186,0.77794,1.14712,0.007822,0.007822,0.007822
79,7198.23,0.55109,0.60601,1.11531,0.81426,0.79316,0.81878,0.60926,1.10047,0.85813,1.21936,0.00779371,0.00779371,0.00779371
80,7288.64,0.57536,0.63289,1.12779,0.84073,0.7798,0.81297,0.61244,1.07318,0.77671,1.20977,0.00776543,0.00776543,0.00776543
81,7379.04,0.57214,0.62307,1.12965,0.83285,0.80256,0.81778,0.61349,1.07625,0.76897,1.16192,0.00773714,0.00773714,0.00773714
82,7469.57,0.56806,0.62915,1.11808,0.79438,0.8,0.80542,0.60399,1.08122,0.83186,1.19285,0.00770886,0.00770886,0.00770886
83,7559.73,0.55083,0.60485,1.11754,0.80128,0.79702,0.81308,0.60863,1.05463,0.78422,1.17893,0.00768057,0.00768057,0.00768057
84,7649.99,0.56274,0.60364,1.11969,0.80457,0.8065,0.80909,0.61428,1.00894,0.76953,1.13383,0.00765229,0.00765229,0.00765229
85,7740.26,0.57137,0.61625,1.12363,0.81031,0.76711,0.7945,0.59882,1.03743,0.78354,1.15149,0.007624,0.007624,0.007624
