epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2968.1,1.97522,1.65852,1.63874,0.67606,0.43721,0.50095,0.18509,2.34183,2.00994,1.80482,0.000995866,0.000995866,0.000995866
63,3015.29,1.9806,1.65062,1.65752,0.6736,0.44186,0.49217,0.19265,2.32756,2.13563,1.71589,0.000984864,0.000984864,0.000984864
64,3062.43,1.98341,1.65092,1.64019,0.68462,0.3907,0.46479,0.18709,2.37098,2.16134,1.66964,0.000973861,0.000973861,0.000973861
65,3109.58,1.97264,1.64073,1.62648,0.67693,0.46977,0.47823,0.17932,2.39058,2.03274,1.76221,0.000962859,0.000962859,0.000962859
66,3156.72,1.96859,1.63031,1.60744,0.6697,0.49767,0.54144,0.22077,2.26008,1.97185,1.7076,0.000951857,0.000951857,0.000951857
67,3204.11,1.9462,1.54634,1.58934,0.65668,0.48042,0.52239,0.19636,2.30675,1.96812,1.76012,0.000940855,0.000940855,0.000940855
68,3252.46,1.93164,1.60524,1.62783,0.71038,0.48837,0.54989,0.22163,2.15803,1.89631,1.62926,0.000929853,0.000929853,0.000929853
69,3300.32,1.92612,1.54672,1.60167,0.69327,0.49767,0.53391,0.19907,2.2036,1.89586,1.68124,0.00091885,0.00091885,0.00091885
70,3348.2,1.92807,1.51462,1.60161,0.69233,0.44651,0.52921,0.2042,2.27506,2.02994,1.72942,0.000907848,0.000907848,0.000907848
71,3396.26,1.92984,1.52507,1.60447,0.63845,0.54419,0.54455,0.21214,2.2269,2.00327,1.67761,0.000896846,0.000896846,0.000896846
72,3444.04,1.91449,1.51651,1.57831,0.65211,0.46512,0.53348,0.20595,2.26253,1.85419,1.77972,0.000885844,0.000885844,0.000885844
73,3491.13,1.89277,1.49956,1.58126,0.71685,0.47442,0.5095,0.1966,2.20388,2.00882,1.68758,0.000874842,0.000874842,0.000874842
74,3538.26,1.89974,1.50897,1.60294,0.70594,0.45581,0.53519,0.20821,2.29643,1.75077,1.80156,0.000863839,0.000863839,0.000863839
75,3585.47,1.88546,1.48922,1.57636,0.73839,0.48837,0.54191,0.21757,2.21708,1.8007,1.7451,0.000852837,0.000852837,0.000852837
76,3633.42,1.93579,1.50169,1.61536,0.66599,0.47907,0.51907,0.21871,2.22243,1.83023,1.70596,0.000841835,0.000841835,0.000841835
77,3681.36,1.88583,1.46799,1.57333,0.6505,0.49767,0.51831,0.2126,2.23914,1.81828,1.76263,0.000830833,0.000830833,0.000830833
78,3728.77,1.89579,1.50189,1.58686,0.67496,0.49302,0.54455,0.22289,2.18008,1.93315,1.64709,0.000819831,0.000819831,0.000819831
79,3776.65,1.8827,1.43221,1.59339,0.71791,0.47907,0.53618,0.20722,2.32809,1.92603,1.80677,0.000808828,0.000808828,0.000808828
80,3824.76,1.86287,1.45565,1.5735,0.73158,0.48372,0.55176,0.21562,2.27681,1.92678,1.71905,0.000797826,0.000797826,0.000797826
81,3872.31,1.86084,1.44631,1.56748,0.67959,0.53271,0.58417,0.22885,2.18709,1.76826,1.68641,0.000786824,0.000786824,0.000786824
82,3920.21,1.842,1.42494,1.57487,0.6358,0.46977,0.5075,0.20343,2.19767,1.89608,1.65529,0.000775822,0.000775822,0.000775822
83,3968.01,1.84108,1.4243,1.55831,0.75941,0.46047,0.54124,0.21996,2.17971,1.83358,1.69403,0.00076482,0.00076482,0.00076482
84,4016.14,1.82586,1.39224,1.54637,0.76516,0.49302,0.56211,0.22348,2.22261,1.71394,1.74772,0.000753817,0.000753817,0.000753817
85,4063.77,1.86188,1.42669,1.54882,0.68139,0.52093,0.54183,0.22166,2.22977,1.73827,1.76346,0.000742815,0.000742815,0.000742815
86,4111.98,1.83641,1.38844,1.5373,0.67095,0.53953,0.57508,0.22301,2.28955,1.7518,1.78921,0.000731813,0.000731813,0.000731813
87,4159.94,1.80887,1.37466,1.53856,0.69476,0.46977,0.53499,0.22016,2.22911,1.80101,1.71983,0.000720811,0.000720811,0.000720811
88,4207.61,1.83968,1.38518,1.55013,0.8103,0.47681,0.55637,0.22254,2.2437,1.82963,1.73613,0.000709809,0.000709809,0.000709809
89,4255.06,1.8443,1.4191,1.52795,0.65925,0.49302,0.52926,0.21935,2.2971,1.86842,1.74457,0.000698806,0.000698806,0.000698806
90,4303.24,1.75962,1.33432,1.51464,0.66248,0.49298,0.55198,0.22244,2.31674,1.86819,1.82664,0.000687804,0.000687804,0.000687804
91,4350.49,1.7823,1.33175,1.5178,0.7242,0.53739,0.57082,0.22595,2.17235,1.72092,1.67301,0.000676802,0.000676802,0.000676802
92,4397.5,1.78118,1.30859,1.53873,0.7307,0.47442,0.55277,0.22357,2.22301,1.76786,1.73475,0.0006658,0.0006658,0.0006658
93,4444.39,1.77378,1.3196,1.51823,0.69746,0.52093,0.5715,0.22279,2.23961,1.7797,1.74539,0.000654798,0.000654798,0.000654798
94,4491.32,1.77837,1.33807,1.50462,0.71285,0.50698,0.54882,0.21651,2.33293,1.79274,1.78311,0.000643795,0.000643795,0.000643795
95,4538.16,1.7059,1.24041,1.49632,0.72766,0.50233,0.5516,0.21419,2.3133,1.76387,1.85028,0.000632793,0.000632793,0.000632793
96,4585.17,1.78202,1.31672,1.51056,0.70509,0.50698,0.56361,0.2218,2.20874,1.76506,1.71131,0.000621791,0.000621791,0.000621791
97,4632,1.75833,1.29803,1.49796,0.77053,0.53103,0.58809,0.2454,2.24006,1.69787,1.71151,0.000610789,0.000610789,0.000610789
98,4679.03,1.75513,1.27663,1.49912,0.7601,0.53023,0.58219,0.23276,2.24951,1.65831,1.79968,0.000599787,0.000599787,0.000599787
99,4726.02,1.73915,1.27531,1.47908,0.76489,0.54419,0.58145,0.23354,2.23956,1.76205,1.73278,0.000588784,0.000588784,0.000588784
100,4772.82,1.75503,1.29047,1.48227,0.66556,0.54419,0.56395,0.22701,2.19136,1.80677,1.68986,0.000577782,0.000577782,0.000577782
101,4819.68,1.74533,1.25057,1.48416,0.6821,0.53892,0.56484,0.22291,2.26477,1.7359,1.7304,0.00056678,0.00056678,0.00056678
102,4866.6,1.71602,1.23535,1.49902,0.7613,0.50233,0.57917,0.22674,2.29563,1.69082,1.74637,0.000555778,0.000555778,0.000555778
103,4913.5,1.70224,1.24017,1.4639,0.81214,0.50233,0.58294,0.22507,2.26334,1.6606,1.71868,0.000544776,0.000544776,0.000544776
104,4960.43,1.71505,1.25383,1.48155,0.70708,0.53488,0.58377,0.22932,2.22899,1.60846,1.7603,0.000533773,0.000533773,0.000533773
105,5007.23,1.71131,1.23732,1.48274,0.77273,0.52189,0.61412,0.23053,2.30671,1.6118,1.83165,0.000522771,0.000522771,0.000522771
106,5054.12,1.68155,1.22046,1.45556,0.82472,0.51628,0.62222,0.24244,2.22672,1.58864,1.75294,0.000511769,0.000511769,0.000511769
