epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,8915.09,1.72408,1.26059,1.61561,0.70359,0.62791,0.65706,0.24894,1.68128,1.57165,1.42149,0.006832,0.006832,0.006832
98,9004.85,1.73184,1.24427,1.59994,0.83181,0.5814,0.65186,0.24876,1.69278,1.85796,1.39831,0.006799,0.006799,0.006799
99,9094.69,1.71758,1.23003,1.61192,0.7884,0.60465,0.67495,0.26399,1.67696,1.81036,1.41712,0.006766,0.006766,0.006766
100,9184.63,1.73315,1.25219,1.59951,0.78239,0.5814,0.63644,0.23489,1.73807,1.65842,1.47532,0.006733,0.006733,0.006733
101,9274.75,1.70969,1.24962,1.58386,0.86839,0.58605,0.67162,0.26712,1.70267,1.62807,1.43039,0.0067,0.0067,0.0067
102,9364.96,1.68303,1.25825,1.5651,0.86541,0.54419,0.65997,0.24435,1.68644,1.64658,1.42289,0.006667,0.006667,0.006667
103,9454.82,1.71394,1.25861,1.59572,0.78178,0.59535,0.66793,0.25437,1.69657,1.88089,1.40372,0.006634,0.006634,0.006634
104,9544.67,1.70548,1.27586,1.58385,0.75717,0.5814,0.64631,0.25924,1.68367,1.77524,1.40913,0.006601,0.006601,0.006601
105,9634.45,1.67257,1.25438,1.58985,0.74614,0.6152,0.66077,0.26761,1.67397,1.66902,1.40984,0.006568,0.006568,0.006568
106,9724.43,1.69137,1.20134,1.60848,0.76413,0.60274,0.66486,0.25514,1.68277,1.83266,1.42641,0.006535,0.006535,0.006535
107,9814.34,1.65354,1.20266,1.56524,0.75203,0.59535,0.6562,0.27605,1.64304,1.62696,1.4168,0.006502,0.006502,0.006502
108,9904.38,1.674,1.21727,1.58866,0.71806,0.62791,0.64257,0.2546,1.69219,1.64809,1.4434,0.006469,0.006469,0.006469
109,9994.26,1.6764,1.22633,1.59744,0.71137,0.64195,0.67592,0.27255,1.6845,1.56814,1.41407,0.006436,0.006436,0.006436
110,10084.4,1.69076,1.17913,1.57098,0.87296,0.58605,0.69615,0.27542,1.66847,1.4567,1.41014,0.006403,0.006403,0.006403
111,10174.4,1.64994,1.15116,1.55727,0.8275,0.59535,0.68567,0.28148,1.62211,1.48116,1.36558,0.00637,0.00637,0.00637
112,10264.7,1.64095,1.17081,1.54872,0.76013,0.5907,0.67012,0.27108,1.68245,1.73786,1.4158,0.006337,0.006337,0.006337
113,10354.9,1.65383,1.18236,1.58513,0.817,0.6,0.68246,0.276,1.66466,1.71207,1.41629,0.006304,0.006304,0.006304
114,10445.1,1.64732,1.1445,1.5678,0.84159,0.56835,0.68495,0.27708,1.63129,1.58127,1.39817,0.006271,0.006271,0.006271
115,10535.3,1.62658,1.14206,1.55658,0.70745,0.65116,0.67889,0.27544,1.64101,1.54081,1.37695,0.006238,0.006238,0.006238
116,10625.4,1.62001,1.13935,1.54348,0.8252,0.59535,0.66856,0.26628,1.66671,1.58948,1.40799,0.006205,0.006205,0.006205
117,10715.6,1.65617,1.1847,1.57053,0.7802,0.64651,0.68269,0.26305,1.68255,1.60576,1.41382,0.006172,0.006172,0.006172
118,10805.9,1.65961,1.16115,1.57622,0.84698,0.6,0.67615,0.2668,1.65535,1.66368,1.41684,0.006139,0.006139,0.006139
119,10895.7,1.64274,1.16019,1.57178,0.77005,0.6093,0.67563,0.26813,1.63933,1.69878,1.40707,0.006106,0.006106,0.006106
120,10985.9,1.61706,1.13558,1.52901,0.77625,0.6093,0.65618,0.26244,1.63961,1.67712,1.38856,0.006073,0.006073,0.006073
121,11075.7,1.61412,1.13005,1.52752,0.82551,0.56744,0.67218,0.26477,1.6692,1.83491,1.41733,0.00604,0.00604,0.00604
122,11165.6,1.59973,1.08913,1.52636,0.81175,0.59535,0.67773,0.26553,1.6883,1.5748,1.40722,0.006007,0.006007,0.006007
123,11255.5,1.58536,1.08982,1.52388,0.78048,0.63256,0.67978,0.26581,1.62344,1.71528,1.39338,0.005974,0.005974,0.005974
124,11345.3,1.58849,1.13923,1.51119,0.78266,0.5907,0.67177,0.26834,1.67336,1.78734,1.42159,0.005941,0.005941,0.005941
125,11435.2,1.59339,1.11071,1.5209,0.81315,0.61395,0.67251,0.28421,1.64211,1.79582,1.40724,0.005908,0.005908,0.005908
126,11525.6,1.60727,1.09142,1.53141,0.85433,0.59535,0.67589,0.2739,1.67279,1.56249,1.4156,0.005875,0.005875,0.005875
127,11615.7,1.59729,1.12419,1.52111,0.84749,0.61395,0.70178,0.27393,1.63125,1.53598,1.40017,0.005842,0.005842,0.005842
128,11705.8,1.56731,1.04796,1.506,0.86205,0.59535,0.68468,0.27096,1.6461,1.73081,1.42855,0.005809,0.005809,0.005809
129,11795.7,1.57317,1.08028,1.51007,0.79094,0.60465,0.67017,0.27789,1.64513,1.50521,1.41863,0.005776,0.005776,0.005776
130,11885.6,1.59276,1.08779,1.51735,0.82629,0.6093,0.68584,0.28775,1.61687,1.72631,1.38482,0.005743,0.005743,0.005743
131,11975.8,1.56283,1.07583,1.50351,0.84347,0.6186,0.71428,0.2845,1.64999,1.62456,1.40903,0.00571,0.00571,0.00571
132,12066,1.57567,1.08579,1.51934,0.79692,0.63884,0.70685,0.28141,1.66382,1.43986,1.4088,0.005677,0.005677,0.005677
133,12155.9,1.56072,1.08266,1.49576,0.8032,0.66047,0.69477,0.26033,1.67455,1.56554,1.44075,0.005644,0.005644,0.005644
134,12246.1,1.58623,1.09691,1.50831,0.75244,0.63721,0.6668,0.26844,1.68236,1.38767,1.4564,0.005611,0.005611,0.005611
135,12335.9,1.54873,1.01008,1.47707,0.78575,0.63721,0.67836,0.27631,1.71629,1.51762,1.47417,0.005578,0.005578,0.005578
136,12426.1,1.53348,1.01821,1.4786,0.83152,0.6,0.66545,0.27364,1.64116,1.46281,1.42095,0.005545,0.005545,0.005545
137,12516.2,1.55321,1.04124,1.50052,0.82284,0.60488,0.68831,0.28855,1.63867,1.66912,1.4285,0.005512,0.005512,0.005512
138,12606.4,1.52758,1.03466,1.46712,0.7903,0.6186,0.69307,0.27815,1.69474,1.84713,1.45557,0.005479,0.005479,0.005479
139,12696.4,1.53586,1.0264,1.48048,0.81547,0.61395,0.68205,0.27078,1.70179,1.61925,1.44911,0.005446,0.005446,0.005446
140,12786.4,1.56112,1.05314,1.51778,0.81607,0.6186,0.68249,0.27636,1.65856,1.70129,1.43134,0.005413,0.005413,0.005413
141,12876.5,1.54437,1.02125,1.48848,0.78607,0.63721,0.68676,0.28,1.69542,1.73613,1.45752,0.00538,0.00538,0.00538
142,12966.6,1.53519,1.0214,1.48999,0.81685,0.62234,0.67953,0.27832,1.68126,1.74723,1.46092,0.005347,0.005347,0.005347
143,13056.4,1.50655,1.01768,1.4476,0.81405,0.65116,0.69239,0.27954,1.63797,1.69648,1.44042,0.005314,0.005314,0.005314
144,13146.4,1.5284,1.01329,1.49725,0.80764,0.65116,0.67862,0.27602,1.68246,1.74314,1.45637,0.005281,0.005281,0.005281
145,13236.3,1.49549,0.99018,1.45914,0.84672,0.62326,0.6975,0.28841,1.6864,1.57581,1.46913,0.005248,0.005248,0.005248
146,13326.3,1.52347,1.00816,1.46658,0.82585,0.65116,0.69019,0.2764,1.6638,1.52908,1.44099,0.005215,0.005215,0.005215
147,13416.3,1.49948,0.98821,1.44946,0.79214,0.65582,0.70108,0.287,1.63312,1.34777,1.42766,0.005182,0.005182,0.005182
148,13506.6,1.50291,0.98894,1.46489,0.85675,0.63256,0.6993,0.29013,1.66646,1.40222,1.44126,0.005149,0.005149,0.005149
149,13596.6,1.48068,0.95912,1.46378,0.81605,0.61903,0.69173,0.28832,1.68814,1.45958,1.44918,0.005116,0.005116,0.005116
150,13686.7,1.45809,0.98361,1.4354,0.82265,0.66047,0.68862,0.27821,1.70635,1.51857,1.47136,0.005083,0.005083,0.005083
151,13776.7,1.47744,0.98065,1.45085,0.81153,0.65581,0.68601,0.2724,1.67598,1.62709,1.45197,0.00505,0.00505,0.00505
152,13866.6,1.467,0.9682,1.43729,0.81276,0.62791,0.68523,0.27843,1.65964,1.50489,1.43674,0.005017,0.005017,0.005017
153,13956.4,1.48914,0.99631,1.44653,0.83048,0.62326,0.68362,0.27996,1.65911,1.41198,1.43694,0.004984,0.004984,0.004984
154,14046.3,1.47745,0.97809,1.44029,0.74383,0.66176,0.67843,0.27788,1.6547,1.55081,1.41021,0.004951,0.004951,0.004951
155,14136.2,1.46091,0.976,1.43957,0.78757,0.63721,0.68313,0.28177,1.64877,1.51578,1.42731,0.004918,0.004918,0.004918
156,14226.1,1.46744,0.97723,1.44947,0.80503,0.62791,0.69166,0.28797,1.66961,1.36986,1.44353,0.004885,0.004885,0.004885
157,14316.1,1.43098,0.95408,1.4203,0.8401,0.61094,0.69031,0.28586,1.65875,1.52256,1.43256,0.004852,0.004852,0.004852
158,14406.1,1.46883,0.94591,1.44083,0.82793,0.6093,0.68161,0.28542,1.66996,1.44675,1.45219,0.004819,0.004819,0.004819
159,14495.9,1.43663,0.94889,1.39615,0.80276,0.60577,0.67683,0.2826,1.66379,1.40286,1.46274,0.004786,0.004786,0.004786
160,14586.1,1.44671,0.95248,1.4185,0.80843,0.62811,0.67339,0.28415,1.6243,1.39891,1.42182,0.004753,0.004753,0.004753
161,14676.1,1.4336,0.92362,1.41022,0.80006,0.63281,0.68622,0.28791,1.64465,1.42863,1.43071,0.00472,0.00472,0.00472
162,14766.1,1.4403,0.92889,1.42111,0.84857,0.6,0.69281,0.29411,1.64446,1.37577,1.43832,0.004687,0.004687,0.004687
163,14856.2,1.44961,0.93801,1.42005,0.83433,0.59535,0.67819,0.29011,1.63649,1.4665,1.42902,0.004654,0.004654,0.004654
164,14946.2,1.44821,0.93086,1.43568,0.84524,0.6186,0.66863,0.29153,1.63761,1.47094,1.43989,0.004621,0.004621,0.004621
165,15036.3,1.44851,0.93636,1.43475,0.85315,0.5945,0.66571,0.28397,1.64998,1.51034,1.46042,0.004588,0.004588,0.004588
166,15126.3,1.42382,0.90977,1.41761,0.83957,0.6085,0.66999,0.28266,1.66147,1.46204,1.4611,0.004555,0.004555,0.004555
167,15216.4,1.42243,0.91118,1.42207,0.80576,0.61742,0.67148,0.28813,1.64469,1.39105,1.45315,0.004522,0.004522,0.004522
168,15306.6,1.41891,0.92065,1.41274,0.82596,0.61806,0.67979,0.28046,1.65531,1.37983,1.44342,0.004489,0.004489,0.004489
169,15396.8,1.40691,0.89897,1.39038,0.79831,0.62596,0.67718,0.27633,1.67291,1.34469,1.45615,0.004456,0.004456,0.004456
170,15486.8,1.41379,0.91664,1.3796,0.83864,0.62326,0.69047,0.28286,1.64705,1.41845,1.44904,0.004423,0.004423,0.004423
171,15576.7,1.40682,0.91538,1.39489,0.81553,0.63256,0.69127,0.2847,1.66547,1.34953,1.45881,0.00439,0.00439,0.00439
172,15666.9,1.40431,0.90774,1.41084,0.87809,0.63655,0.70008,0.29128,1.64783,1.2965,1.45851,0.004357,0.004357,0.004357
